time (s)	theta (A)	maj axis/z0	min axis/z0	crossing#mod 255
4078.390348	239.319824	1.097684	0.013181	223
4080.470288	239.256317	1.104791	0.012568	225
4082.549625	239.375427	1.112318	0.011213	227
4084.630111	239.354630	1.119040	0.010134	229
4086.708799	239.377625	1.127234	0.009308	231
4088.788555	239.405197	1.135549	0.008264	233
4090.867454	239.472580	1.141002	0.007820	235
4092.945975	239.583176	1.147533	0.006665	237
4095.025577	239.631409	1.154078	0.005860	239
4097.104736	239.711594	1.155897	0.004445	241
4099.184729	239.679291	1.162629	0.003683	243
4101.265331	239.629898	1.167170	0.002623	245
4103.345419	239.551163	1.172857	0.001792	247
4105.426535	239.493011	1.178885	0.001108	249
4107.507180	239.489334	1.182400	0.000203	251
4109.587889	239.521622	1.186949	-0.000785	253
4111.668132	239.608154	1.193193	-0.001572	255
4113.748093	239.625229	1.196761	-0.002717	1
4115.827754	239.679092	1.201126	-0.003433	3
4117.906996	239.716553	1.208061	-0.004237	5
4119.986724	239.734436	1.212689	-0.005020	7
4122.066011	239.758499	1.216291	-0.005862	9
4124.145119	239.738190	1.221212	-0.006464	11
4126.224596	239.823029	1.224321	-0.007723	13
4128.303349	239.762802	1.230223	-0.008364	15
4130.382199	239.739868	1.232606	-0.009309	17
4132.460894	239.640381	1.234010	-0.010016	19
4134.539437	239.571915	1.238452	-0.010916	21
4136.617871	239.541382	1.239906	-0.011920	23
4138.696971	239.642258	1.241117	-0.012856	25
4140.776490	239.678421	1.247741	-0.013605	27
4142.856632	239.743805	1.247662	-0.014209	29
4144.936504	239.793427	1.254568	-0.015345	31
4147.016402	239.961761	1.256654	-0.016039	33
4149.096043	239.975403	1.261973	-0.016347	35
4151.175645	239.963058	1.264521	-0.017546	37
4153.255566	239.974091	1.268140	-0.019315	39
4155.334945	239.997116	1.267988	-0.019727	41
4157.414355	239.999313	1.271969	-0.020241	43
4159.493534	239.942780	1.274911	-0.020900	45
4161.572559	239.873337	1.276173	-0.022016	47
4163.651278	239.975082	1.278732	-0.022779	49
4165.729991	239.919571	1.284355	-0.023114	51
4167.808397	239.978882	1.283979	-0.023700	53
4169.887167	239.948730	1.286952	-0.024862	55
4171.965825	239.962494	1.286928	-0.025449	57
4174.044786	239.926483	1.285959	-0.026047	59
4176.124364	239.876831	1.289223	-0.026930	61
4178.204003	239.848099	1.289688	-0.027383	63
4180.283968	239.861023	1.292415	-0.028023	65
4182.364206	239.861588	1.296911	-0.029119	67
4184.443948	239.940750	1.296441	-0.030023	69
4186.523789	239.948730	1.299484	-0.030908	71
4188.603606	240.008362	1.303174	-0.031995	73
4190.683381	240.050644	1.303731	-0.032947	75
4192.762384	239.986450	1.295923	-0.033414	77
4194.841128	239.841537	1.296953	-0.034685	79
4196.919453	239.983917	1.292582	-0.035507	81
4198.997998	239.935471	1.290678	-0.036192	83
4201.076508	239.944351	1.290588	-0.037078	85
4203.154557	239.902817	1.288987	-0.037767	87
4205.232393	239.820084	1.286850	-0.038025	89
4207.311230	239.847565	1.284021	-0.039808	91
4209.388731	239.706772	1.285143	-0.040002	93
4211.466388	239.536438	1.283098	-0.040733	95
4213.544380	239.582184	1.279829	-0.041864	97
4215.622395	239.566360	1.278680	-0.042497	99
4217.701195	239.621323	1.276175	-0.042997	101
4219.779934	239.661270	1.275998	-0.043958	103
4221.858932	239.726868	1.274540	-0.045134	105
4223.938039	239.822556	1.273607	-0.045985	107
4226.017424	239.889648	1.272435	-0.046974	109
4228.096318	239.901108	1.272248	-0.047839	111
4230.175073	239.908859	1.270128	-0.048706	113
4232.253866	239.889359	1.268124	-0.049340	115
4234.332484	239.913971	1.266709	-0.050174	117
4236.410949	239.848602	1.265837	-0.051357	119
4238.488793	239.829636	1.263299	-0.051707	121
4240.566848	239.798416	1.263631	-0.052372	123
4242.644818	239.738602	1.261008	-0.052795	125
4244.722690	239.735153	1.258485	-0.053663	127
4246.800925	239.677368	1.256986	-0.054201	129
4248.879343	239.596771	1.255679	-0.054889	131
4250.957897	239.552597	1.253121	-0.055437	133
4253.036783	239.569000	1.250411	-0.056226	135
4255.115978	239.547974	1.249400	-0.056890	137
4257.195150	239.591217	1.246858	-0.057620	139
4259.274458	239.613525	1.244695	-0.058558	141
4261.353548	239.649536	1.243455	-0.059461	143
4263.432703	239.666351	1.240474	-0.060196	145
4265.511587	239.709915	1.237157	-0.061059	147
4267.590461	239.731491	1.235636	-0.062030	149
4269.669217	239.728088	1.235138	-0.062737	151
4271.747691	239.723114	1.235492	-0.063712	153
4273.826030	239.729874	1.234639	-0.064536	155
4275.904581	239.679962	1.231992	-0.065248	157
4277.982723	239.600342	1.230738	-0.065739	159
4280.060839	239.525040	1.229838	-0.066508	161
4282.138727	239.424881	1.227619	-0.066927	163
4284.216703	239.351105	1.223989	-0.067622	165
4286.294412	239.222809	1.223243	-0.068292	167
4288.372447	239.139954	1.220902	-0.069041	169
4290.450578	239.119370	1.219299	-0.070088	171
4292.528830	239.142700	1.218497	-0.071056	173
4294.607511	239.135330	1.217063	-0.071766	175
4296.686270	239.211960	1.216880	-0.072665	177
4298.765211	239.238556	1.215162	-0.073436	179
4300.843962	239.310074	1.214735	-0.074438	181
4302.922627	239.298782	1.214773	-0.075532	183
4305.001699	239.334839	1.217291	-0.076475	185
4307.080202	239.354248	1.211753	-0.076966	187
4309.158552	239.309906	1.213618	-0.077698	189
4311.237234	239.315384	1.210585	-0.078381	191
4313.315468	239.235550	1.210054	-0.079074	193
4315.393509	239.171463	1.209280	-0.079588	195
4317.471702	239.105148	1.208081	-0.080399	197
4319.550006	239.034973	1.208981	-0.081036	199
4321.628253	238.988327	1.202314	-0.080669	201
4323.706577	238.939362	1.203209	-0.081663	203
4325.785365	238.952209	1.199972	-0.082161	205
4327.863854	238.862579	1.199403	-0.082647	207
4329.942809	238.927368	1.197142	-0.082975	209
4332.022034	238.944199	1.193375	-0.084222	211
