time (s)	coil I (A)	last det (V)	int current (uC)
3769.477941	1.432280	0.195086	763.405334
3769.478938	1.803648	0.195086	2561.641846
3769.479829	1.759790	0.195086	4129.614746
3769.480831	1.702039	0.195086	5835.057617
3769.481889	1.642800	0.195086	7573.140137
3769.482799	1.594069	0.195086	9023.742187
3769.483663	1.548776	0.195086	10361.884766
3769.484767	1.496796	0.195086	12014.347656
3769.485753	0.577299	0.195086	12583.564453
3769.486617	0.095797	0.195086	12666.333008
3769.487618	0.095314	0.195086	12761.742187
3769.488670	0.095262	0.195086	12861.958008
3769.489542	0.095281	0.195086	12945.042969
3769.490411	0.095222	0.195086	13027.791016
3769.491508	0.095343	0.195086	13132.381836
3769.492468	0.095109	0.195086	13223.686523
3769.493337	0.095237	0.195086	13306.447266
3769.494353	0.095336	0.195086	13403.308594
3769.495386	0.095273	0.195086	13501.725586
3770.541394	1.440945	0.166405	785.314941
3770.542358	1.804816	0.166405	2525.157227
3770.543238	1.761808	0.166405	4075.548096
3770.544124	1.708301	0.166405	5589.102539
3770.545232	1.648777	0.166405	7415.947266
3770.546130	1.600595	0.166405	8853.281250
3770.546996	1.556158	0.166405	10200.914062
3770.548032	1.505343	0.166405	11760.449219
3770.549009	0.871333	0.166405	12611.741211
3770.549885	0.100195	0.166405	12699.512695
3770.550750	0.095259	0.166405	12781.911133
3770.551851	0.095295	0.166405	12886.831055
3770.552733	0.095237	0.166405	12970.830078
3770.553597	0.095310	0.166405	13053.177734
3770.554691	0.095376	0.166405	13157.519531
3770.555661	0.095229	0.166405	13249.892578
3770.556537	0.095262	0.166405	13333.342773
3770.557404	0.095277	0.166405	13415.948242
3770.558513	0.095317	0.166405	13521.655273
3771.557903	1.387006	0.200972	703.211853
3771.558866	1.805050	0.200972	2441.475098
3771.559748	1.763972	0.200972	3997.298584
3771.560786	1.704291	0.200972	5766.352539
3771.561829	1.646126	0.200972	7483.261719
3771.562724	1.597694	0.200972	8913.198242
3771.563625	1.550907	0.200972	10310.565430
3771.564711	1.499037	0.200972	11938.519531
3771.565665	0.703715	0.200972	12609.863281
3771.566525	0.097112	0.200972	12693.379883
3771.567560	0.095299	0.200972	12792.014648
3771.568584	0.095314	0.200972	12889.616211
3771.569464	0.095215	0.200972	12973.405273
3771.570394	0.095306	0.200972	13062.040039
3771.571434	0.095325	0.200972	13161.177734
3771.572379	0.095266	0.200972	13251.204102
3771.573247	0.095339	0.200972	13333.958984
3771.574276	0.095332	0.200972	13432.055664
3771.575294	0.095292	0.200972	13529.062500
3772.618712	1.353146	0.172560	606.209290
3772.619586	1.805475	0.172560	2184.194336
3772.620598	1.765188	0.172560	3970.564453
3772.621674	1.703716	0.172560	5803.762695
3772.622563	1.652952	0.172560	7273.236816
3772.623429	1.603612	0.172560	8661.964844
3772.624538	1.549578	0.172560	10380.446289
3772.625502	1.503256	0.172560	11829.584961
3772.626379	0.931912	0.172560	12646.871094
3772.627402	0.099078	0.172560	12748.228516
3772.628427	0.095226	0.172560	12845.834961
3772.629324	0.095134	0.172560	12931.169922
3772.630249	0.095262	0.172560	13019.288086
3772.631320	0.095211	0.172560	13121.258789
3772.632261	0.095127	0.172560	13210.773437
3772.633125	0.095208	0.172560	13293.033203
3772.634192	0.095299	0.172560	13394.717773
3772.635207	0.095303	0.172560	13491.450195
3772.636099	0.095164	0.172560	13576.335937
3773.638866	1.333502	0.194518	594.741943
3773.639750	1.805211	0.194518	2190.548584
3773.640635	1.771622	0.194518	3758.434326
3773.641591	1.717815	0.194518	5400.665527
3773.642502	1.665205	0.194518	6917.667480
3773.643432	1.615287	0.194518	8419.884766
3773.644300	1.569668	0.194518	9782.356445
3773.645278	1.519797	0.194518	11268.718750
3773.646237	1.295339	0.194518	12510.949219
3773.647133	0.166688	0.194518	12660.301758
3773.648120	0.095167	0.194518	12754.231445
3773.649041	0.095101	0.194518	12841.819336
3773.649963	0.095244	0.194518	12929.634766
3773.650824	0.095365	0.194518	13011.744141
3773.651865	0.095219	0.194518	13110.866211
3773.652744	0.095229	0.194518	13194.573242
3773.653668	0.095255	0.194518	13282.588867
3773.654527	0.095193	0.194518	13364.359375
3773.655511	0.095189	0.194518	13458.025391
3774.695865	1.304359	0.172342	553.048279
3774.696837	1.801721	0.172342	2304.321289
3774.697911	1.757175	0.172342	4191.527344
3774.698846	1.703013	0.172342	5783.844238
3774.699714	1.652791	0.172342	7218.466309
3774.700792	1.596537	0.172342	8939.533203
3774.701788	1.545985	0.172342	10479.333984
3774.702687	1.502421	0.172342	11830.009766
3774.703686	0.745880	0.172342	12575.144531
3774.704733	0.095881	0.172342	12675.532227
3774.705627	0.095219	0.172342	12760.657227
3774.706486	0.095303	0.172342	12842.522461
3774.707577	0.095248	0.172342	12946.437500
3774.708546	0.095193	0.172342	13038.679687
3774.709409	0.095131	0.172342	13120.777344
3774.710416	0.095394	0.172342	13216.839844
3774.711475	0.095266	0.172342	13317.726562
3774.712348	0.095211	0.172342	13400.845703
3774.713226	0.095281	0.172342	13484.501953
3775.719106	1.311552	0.191727	558.720947
3775.720083	1.801392	0.191727	2318.680664
3775.721154	1.757351	0.191727	4200.803711
3775.722061	1.703745	0.191727	5746.100586
3775.722933	1.653651	0.191727	7188.084473
3775.723995	1.597837	0.191727	8884.987305
3775.724994	1.546846	0.191727	10430.286133
3775.725889	1.503303	0.191727	11775.742187
3775.726870	0.813248	0.191727	12573.539062
3775.727925	0.096302	0.191727	12675.138672
3775.728831	0.095189	0.191727	12761.379883
3775.729693	0.095233	0.191727	12843.470703
3775.730781	0.095288	0.191727	12947.144531
3775.731749	0.095193	0.191727	13039.291016
3775.732632	0.095200	0.191727	13123.352539
3775.733621	0.095281	0.191727	13217.584961
3775.734659	0.095288	0.191727	13316.494141
3775.735552	0.095167	0.191727	13401.478516
3775.736410	0.095251	0.191727	13483.204102
3776.775134	1.329463	0.175976	592.940430
3776.776009	1.804973	0.175976	2172.291992
3776.776890	1.772029	0.175976	3733.449219
3776.777836	1.717507	0.175976	5358.210937
3776.778784	1.662466	0.175976	6934.228516
3776.779712	1.613013	0.175976	8431.104492
3776.780586	1.566101	0.175976	9799.876953
3776.781637	1.516399	0.175976	11393.612305
3776.782525	1.285994	0.175976	12535.574219
3776.783404	0.162924	0.175976	12678.784180
3776.784405	0.095215	0.175976	12774.093750
3776.785322	0.095211	0.175976	12861.402344
3776.786244	0.095233	0.175976	12949.207031
3776.787103	0.095343	0.175976	13031.106445
3776.788128	0.095226	0.175976	13128.712891
3776.789023	0.095266	0.175976	13213.975586
3776.789902	0.095244	0.175976	13297.695312
3776.790858	0.095292	0.175976	13388.793945
3776.791814	0.095233	0.175976	13479.836914
3777.798115	1.361829	0.204541	630.526611
3777.798990	1.805563	0.204541	2210.394043
3777.799987	1.765719	0.204541	3970.815918
3777.801049	1.703829	0.204541	5780.282715
3777.801964	1.652183	0.204541	7292.029785
3777.802825	1.604048	0.204541	8673.115234
3777.803889	1.550929	0.204541	10323.303711
3777.804894	1.502113	0.204541	11832.927734
3777.805793	0.888973	0.204541	12632.115234
3777.806780	0.100360	0.204541	12731.170898
3777.807841	0.095255	0.204541	12832.236328
3777.808730	0.095197	0.204541	12916.866211
3777.809597	0.095310	0.204541	12999.500000
3777.810692	0.095240	0.204541	13103.788086
3777.811649	0.095156	0.204541	13194.852539
3777.812515	0.095178	0.204541	13277.277344
3777.813551	0.095317	0.204541	13376.026367
3777.814588	0.095200	0.204541	13474.749023
3777.815484	0.095259	0.204541	13560.100586
3778.854862	1.320066	0.174937	575.548706
3778.855736	1.805200	0.174937	2153.293457
3778.856747	1.765085	0.174937	3937.794922
3778.857786	1.705349	0.174937	5709.652344
3778.858681	1.654581	0.174937	7190.502441
3778.859591	1.605106	0.174937	8651.149414
3778.860688	1.549929	0.174937	10351.421875
3778.861638	1.504047	0.174937	11780.265625
3778.862516	0.956558	0.174937	12620.123047
3778.863586	0.098090	0.174937	12725.079102
3778.864590	0.095325	0.174937	12820.785156
3778.865483	0.095251	0.174937	12905.844727
3778.866438	0.095369	0.174937	12996.921875
3778.867494	0.095281	0.174937	13097.538086
3778.868421	0.095222	0.174937	13185.808594
3778.869282	0.095299	0.174937	13267.861328
3778.870351	0.095380	0.174937	13369.822266
3778.871348	0.095262	0.174937	13464.798828
3778.872226	0.095211	0.174937	13548.394531
3779.877392	1.390851	0.198039	706.552246
3779.878312	1.806054	0.198039	2368.121582
3779.879174	1.765968	0.198039	3890.386230
3779.880267	1.703606	0.198039	5752.427734
3779.881272	1.647231	0.198039	7407.895508
3779.882166	1.600009	0.198039	8838.302734
3779.883147	1.550669	0.198039	10359.508789
3779.884208	1.498879	0.198039	11949.820312
3779.885119	0.744360	0.198039	12627.932617
3779.885981	0.097896	0.198039	12712.318359
3779.887074	0.095361	0.198039	12816.547852
3779.888049	0.095237	0.198039	12909.403320
3779.888910	0.095365	0.198039	12991.512695
3779.889990	0.095394	0.198039	13094.538086
3779.891024	0.095288	0.198039	13193.066406
3779.891907	0.095273	0.198039	13277.192383
3779.892824	0.095255	0.198039	13364.541016
3779.893886	0.095409	0.198039	13465.865234
3779.894837	0.095204	0.198039	13556.404297
3780.935355	1.312196	0.159879	558.995483
3780.936349	1.801699	0.159879	2349.884277
3780.937418	1.756249	0.159879	4227.314453
3780.938328	1.702815	0.159879	5776.875977
3780.939194	1.652150	0.159879	7207.637695
3780.940303	1.594911	0.159879	8976.393555
3780.941284	1.545615	0.159879	10492.642578
3780.942150	1.502776	0.159879	11794.046875
3780.943230	0.667430	0.159879	12514.872070
3780.944263	0.095369	0.159879	12613.387695
3780.945158	0.095255	0.159879	12698.640625
3780.946074	0.095336	0.159879	12785.967773
3780.947128	0.095369	0.159879	12886.486328
3780.948066	0.095277	0.159879	12975.856445
3780.948924	0.095208	0.159879	13057.544922
3780.949966	0.095336	0.159879	13156.884766
3780.950988	0.095277	0.159879	13254.257812
3780.951866	0.095197	0.159879	13337.840820
3780.952817	0.095251	0.159879	13428.424805
3781.953559	1.351241	0.193189	698.591858
3781.954535	1.804647	0.193189	2459.927490
3781.955450	1.760929	0.193189	4071.177490
3781.956325	1.709121	0.193189	5566.658203
3781.957424	1.648799	0.193189	7378.687988
3781.958330	1.599855	0.193189	8828.156250
3781.959209	1.554844	0.193189	10194.864258
3781.960096	1.509694	0.193189	11533.962891
3781.961151	0.937504	0.193189	12523.029297
3781.962047	0.101733	0.193189	12614.182617
3781.962906	0.095266	0.193189	12696.016602
3781.964016	0.095295	0.193189	12801.794922
3781.964913	0.095270	0.193189	12887.251953
3781.965787	0.095262	0.193189	12970.511719
3781.966799	0.095431	0.193189	13067.087891
3781.967782	0.095310	0.193189	13160.777344
3781.968672	0.095284	0.193189	13245.580078
3781.969528	0.095354	0.193189	13327.203125
3781.970620	0.095361	0.193189	13431.337891
3783.016264	1.455396	0.164378	823.753906
3783.017323	1.800809	0.164378	2730.811035
3783.018213	1.754066	0.164378	4291.929687
3783.019108	1.700746	0.164378	5814.097168
3783.020205	1.641097	0.164378	7614.380859
3783.021166	1.590319	0.164378	9142.676758
3783.022036	1.545322	0.164378	10487.107422
3783.023076	1.496008	0.164378	12042.956055
3783.024109	0.494773	0.164378	12554.056641
3783.025003	0.095222	0.164378	12639.185547
3783.025949	0.095222	0.164378	12729.265625
3783.026993	0.095317	0.164378	12828.777344
3783.027931	0.095244	0.164378	12918.116211
3783.028792	0.095226	0.164378	13000.105469
3783.029862	0.095350	0.164378	13102.129883
3783.030865	0.095233	0.164378	13197.648437
3783.031743	0.095237	0.164378	13281.266602
3783.032717	0.095383	0.164378	13374.169922
3783.033766	0.095255	0.164378	13474.092773
3784.031674	1.302825	0.194607	549.791992
3784.032648	1.801571	0.194607	2304.522217
3784.033708	1.756461	0.194607	4166.371094
3784.034635	1.703090	0.194607	5745.135254
3784.035502	1.653278	0.194607	7178.526855
3784.036598	1.596797	0.194607	8928.616211
3784.037595	1.545418	0.194607	10469.397461
3784.038481	1.503212	0.194607	11801.243164
3784.039499	0.766615	0.194607	12581.657227
3784.040546	0.096090	0.194607	12682.263672
3784.041428	0.095237	0.194607	12766.262695
3784.042293	0.095284	0.194607	12848.683594
3784.043390	0.095358	0.194607	12953.291016
3784.044345	0.095240	0.194607	13044.246094
3784.045201	0.095273	0.194607	13125.799805
3784.046243	0.095321	0.194607	13225.124023
3784.047284	0.095273	0.194607	13324.303711
3784.048174	0.095219	0.194607	13409.047852
3784.049101	0.095343	0.194607	13497.430664
3785.096973	1.380802	0.158993	694.543335
3785.097875	1.805739	0.158993	2323.319580
3785.098740	1.766514	0.158993	3851.354004
3785.099842	1.703932	0.158993	5729.086914
3785.100819	1.649253	0.158993	7340.407227
3785.101709	1.602279	0.158993	8766.435547
3785.102734	1.550727	0.158993	10355.931641
3785.103781	1.499901	0.158993	11926.328125
3785.104675	0.791803	0.158993	12634.200195
3785.105564	0.098892	0.158993	12722.115234
3785.106660	0.095299	0.158993	12826.563477
3785.107608	0.095299	0.158993	12916.907227
3785.108466	0.095273	0.158993	12998.651367
3785.109505	0.095394	0.158993	13097.765625
3785.110518	0.095314	0.158993	13194.318359
3785.111395	0.095270	0.158993	13277.870117
3785.112318	0.095350	0.158993	13365.878906
3785.113381	0.095413	0.158993	13467.302734
3785.114329	0.095281	0.158993	13557.628906
3786.108944	1.344034	0.190736	685.457581
3786.110002	1.801296	0.190736	2591.229004
3786.110948	1.753901	0.190736	4250.419922
3786.111821	1.702917	0.190736	5737.066895
3786.112864	1.644888	0.190736	7452.684570
3786.113880	1.591421	0.190736	9069.568359
3786.114774	1.546150	0.190736	10451.826172
3786.115747	1.499553	0.190736	11910.891602
3786.116799	0.573391	0.190736	12514.098633
3786.117724	0.095277	0.190736	12602.229492
3786.118586	0.095164	0.190736	12684.260742
3786.119656	0.095354	0.190736	12786.289062
3786.120640	0.095160	0.190736	12879.926758
3786.121533	0.095262	0.190736	12964.996094
3786.122514	0.095273	0.190736	13058.458984
3786.123559	0.095233	0.190736	13157.977539
3786.124459	0.095149	0.190736	13243.611328
3786.125315	0.095200	0.190736	13325.102539
3786.126389	0.095251	0.190736	13427.402344
3787.176997	1.383647	0.160451	734.716797
3787.177911	1.805347	0.160451	2384.803711
3787.178791	1.765302	0.160451	3938.269043
3787.179723	1.711033	0.160451	5532.951660
3787.180732	1.654812	0.160451	7202.657227
3787.181667	1.604604	0.160451	8702.962891
3787.182536	1.559491	0.160451	10058.160156
3787.183596	1.508613	0.160451	11657.290039
3787.184498	1.060726	0.160451	12614.065430
3787.185369	0.113093	0.160451	12712.569336
3787.186279	0.095160	0.160451	12799.165039
3787.187299	0.095193	0.160451	12896.261719
3787.188182	0.095193	0.160451	12980.317383
3787.189060	0.095160	0.160451	13063.868164
3787.190056	0.095200	0.160451	13158.687500
3787.190989	0.095211	0.160451	13247.519531
3787.191912	0.095164	0.160451	13335.355469
3787.192775	0.095277	0.160451	13417.580078
3787.193819	0.095186	0.160451	13516.954102
3788.187582	1.314756	0.195058	564.030273
3788.188450	1.802549	0.195058	2128.642578
3788.189575	1.759292	0.195058	4107.846191
3788.190569	1.702544	0.195058	5800.174805
3788.191442	1.653135	0.195058	7243.361328
3788.192504	1.596713	0.195058	8939.070312
3788.193545	1.544348	0.195058	10546.736328
3788.194442	1.499718	0.195058	11891.983398
3788.195387	0.775752	0.195058	12625.069336
3788.196452	0.095878	0.195058	12727.178711
3788.197396	0.095211	0.195058	12817.057617
3788.198259	0.095273	0.195058	12899.278320
3788.199312	0.095398	0.195058	12999.732422
3788.200318	0.095273	0.195058	13095.577148
3788.201205	0.095237	0.195058	13180.051758
3788.202166	0.095438	0.195058	13271.767578
3788.203198	0.095292	0.195058	13370.108398
3788.204116	0.095248	0.195058	13457.545898
3788.204971	0.095317	0.195058	13539.041992
3789.257166	1.320875	0.161929	582.505981
3789.258030	1.804852	0.161929	2141.898437
3789.259075	1.764507	0.161929	3985.808105
3789.260110	1.704862	0.161929	5750.340332
3789.260997	1.653794	0.161929	7217.255371
3789.261914	1.604084	0.161929	8688.201172
3789.262978	1.550698	0.161929	10338.144531
