crossing time (s)	slope (V/s)	crossing number
3110.190285	6.479483	2879
3111.252976	6.008665	2880
3112.269684	6.540601	2881
3113.330732	5.971766	2882
3114.347888	6.350699	2883
3115.410405	5.883318	2884
3116.427646	6.032169	2885
3117.488572	6.589706	2886
3118.508204	6.200743	2887
3119.566329	6.025197	2888
3120.589193	5.902490	2889
3121.644326	6.680228	2890
3122.670112	6.580831	2891
3123.722618	6.679823	2892
3124.748736	6.880356	2893
3125.800874	6.151989	2894
3126.826632	6.200105	2895
3127.881521	6.347904	2896
3128.905270	6.679691	2897
3129.960646	5.849885	2898
3130.982820	5.935456	2899
3132.042939	6.162650	2900
3133.060262	6.301746	2901
3134.122380	6.362744	2902
3135.139567	6.348522	2903
3136.201032	6.422110	2904
3137.217905	6.533873	2905
3138.280232	6.475168	2906
3139.296388	6.557431	2907
3140.358118	6.583990	2908
3141.375407	6.849581	2909
3142.438073	6.189276	2910
3143.454961	6.426173	2911
3144.516807	6.416761	2912
3145.533125	6.731494	2913
3146.594867	6.044701	2914
3147.612018	6.382215	2915
3148.674600	6.256787	2916
3149.690752	6.720068	2917
3150.755195	5.960603	2918
3151.769885	6.583284	2919
3152.832608	5.861407	2920
3153.848906	6.485916	2921
3154.910947	5.981229	2922
3155.928513	6.740420	2923
3156.989611	5.977545	2924
3158.008240	6.549123	2925
3159.067615	6.054111	2926
3160.088832	6.454373	2927
3161.144867	6.551463	2928
3162.169682	6.362558	2929
3163.224473	6.285921	2930
3164.250489	6.452258	2931
3165.301619	6.749993	2932
3166.329155	6.744649	2933
3167.379905	6.836262	2934
3168.407306	6.892779	2935
3169.458906	6.744090	2936
3170.486434	6.882767	2937
3171.539359	6.643893	2938
3172.563866	7.055489	2939
3173.619802	6.276115	2940
3174.641624	6.584478	2941
3175.699276	6.317049	2942
3176.720350	6.701916	2943
3177.779993	6.313230	2944
3178.798529	6.492241	2945
3179.858741	6.506346	2946
3180.877123	6.548631	2947
3181.938352	6.714742	2948
3182.955663	6.614785	2949
3184.017295	6.673803	2950
3185.035021	6.740917	2951
3186.096033	6.718239	2952
3187.113366	6.835327	2953
3188.173734	6.436324	2954
3189.193082	6.626576	2955
3190.252436	6.557140	2956
3191.271405	6.702618	2957
3192.300688	5.591198	2958
3193.351643	6.311597	2959
3194.409129	6.504186	2960
3195.431598	6.423054	2961
3196.487590	6.502641	2962
3197.512006	6.356279	2963
3198.565866	6.644669	2964
3199.591398	6.707667	2965
3200.643550	6.717011	2966
3201.669865	6.968769	2967
3202.721011	6.583579	2968
3203.749095	6.867569	2969
3204.801000	6.348073	2970
3205.827289	6.688383	2971
3206.881413	6.236807	2972
3207.904471	6.446520	2973
3208.961524	6.171896	2974
3209.983387	6.301848	2975
3211.041046	6.540546	2976
3212.062617	6.464720	2977
3213.120929	6.728325	2978
3214.140463	6.784106	2979
3215.200937	6.894310	2980
3216.219137	7.016044	2981
3217.279693	6.885323	2982
3218.297503	7.215467	2983
3219.358360	6.686172	2984
3220.375174	7.352359	2985
3221.437286	6.618457	2986
3222.453578	7.341174	2987
3223.515987	6.454536	2988
3224.533301	7.344635	2989
3225.595334	6.344182	2990
3226.611464	7.036710	2991
3227.672986	6.343009	2992
3228.690409	6.799388	2993
3229.752620	6.260838	2994
3230.769154	6.640785	2995
3231.829982	6.344784	2996
3232.848703	6.544592	2997
3233.906860	6.320012	2998
3234.927878	6.525009	2999
3235.984569	6.317347	3000
3237.007696	6.472826	3001
3238.062057	6.576588	3002
3239.086894	6.619572	3003
3240.139598	6.517692	3004
3241.166057	6.636967	3005
3242.216895	6.634078	3006
3243.245595	6.744915	3007
3244.295783	6.624940	3008
3245.323550	6.734465	3009
3246.373972	6.568746	3010
3247.401322	6.683349	3011
3248.452944	6.441414	3012
3249.479019	6.664452	3013
3250.533094	6.348415	3014
3251.555729	6.488976	3015
3252.612647	6.349450	3016
3253.632767	6.530705	3017
3254.692162	6.353553	3018
3255.711016	6.403563	3019
3256.770233	6.276568	3020
3257.789375	6.598305	3021
3258.848209	6.405630	3022
3259.867460	6.515091	3023
3260.926815	6.296787	3024
3261.945976	6.419399	3025
3263.005776	6.361586	3026
3264.024592	6.437900	3027
3265.083623	6.298885	3028
3266.103965	6.191152	3029
3267.162026	6.276941	3030
3268.181370	6.262849	3031
3269.240422	6.194767	3032
3270.260194	6.212664	3033
3271.317202	6.189659	3034
3272.339937	6.122881	3035
3273.394938	6.367296	3036
3274.419185	6.210791	3037
3275.472412	6.385417	3038
3276.498745	6.406923	3039
3277.550685	6.363542	3040
3278.576442	6.381549	3041
3279.628651	6.316721	3042
3280.654214	6.328473	3043
3281.707149	6.179569	3044
3282.732314	6.235065	3045
3283.786419	6.165331	3046
3284.809699	6.190509	3047
3285.866424	6.157475	3048
3286.887619	6.154343	3049
3287.945987	6.173064	3050
3288.966329	6.171915	3051
3290.024477	6.176142	3052
3291.042578	6.065529	3053
3292.103989	6.137540	3054
3293.121517	6.242690	3055
3294.181822	6.148454	3056
3295.199613	6.070674	3057
3296.260648	6.143195	3058
3297.276556	6.135460	3059
3298.338360	6.186770	3060
3299.355379	6.103900	3061
3300.416738	6.117468	3062
3301.434206	6.065355	3063
3302.494626	6.126876	3064
3303.511791	6.165131	3065
3304.573870	6.041562	3066
3305.590745	6.087318	3067
3306.651878	5.985753	3068
3307.669839	6.069713	3069
3308.729357	6.034946	3070
3309.749084	6.007849	3071
3310.807124	6.005225	3072
3311.828244	6.027776	3073
3312.884671	5.995557	3074
3313.908066	6.000351	3075
3314.961756	5.998907	3076
3315.987321	5.974472	3077
3317.040380	5.986378	3078
3318.064543	5.934797	3079
3319.117472	5.972341	3080
3320.144713	5.917323	3081
3321.195331	5.966353	3082
3322.222704	5.996792	3083
3323.274004	5.885470	3084
3324.300057	5.959137	3085
3325.352108	5.861196	3086
3326.378540	5.987808	3087
3327.431404	5.972965	3088
3328.456096	5.898673	3089
3329.510674	5.886260	3090
3330.533935	5.936622	3091
3331.589749	5.947301	3092
3332.612523	5.968489	3093
3333.667688	5.840145	3094
3334.690357	5.832421	3095
3335.746863	5.865036	3096
3336.767691	5.965487	3097
3337.825319	5.801986	3098
3338.846673	5.857752	3099
3339.902935	5.778264	3100
3340.925077	5.811663	3101
3341.981972	5.905774	3102
3343.003262	5.893141	3103
3344.058416	5.772058	3104
3345.082054	5.830145	3105
3346.137197	5.861251	3106
3347.160617	5.816250	3107
3348.214723	5.787299	3108
3349.239755	5.876123	3109
3350.291926	5.722915	3110
3351.318592	5.747008	3111
3352.370802	5.795766	3112
3353.397758	5.725934	3113
3354.449086	5.853174	3114
3355.475545	5.809447	3115
3356.526826	5.822702	3116
